symbol,sector,industry,longName,volume,profitMargins,sharesOutstanding,regularMarketPreviousClose,trailingPE,priceToBook
0066.HK,Industrials,Railroads,MTR Corporation Limited,1482072,0.25849,6157629952,43.9,16.742424,1.5057573
0068.HK,Financial Services,Asset Management,Lee Hing Development Limited,1000,0.0,146780992,3.72,,0.46090943
0069.HK,Consumer Cyclical,Lodging,Shangri-La Asia Limited,308000,0.06113,3585520128,8.01,18.887281,4.5945945
0070.HK,Consumer Cyclical,Resorts & Casinos,Rich Goldman Holdings Limited,52000,0.3554,692436992,0.142,2.3500001,0.08623853
0071.HK,Consumer Cyclical,Travel Services,"Miramar Hotel and Investment Company, Limited",5000,0.48286,690960000,15.1,6.3813562,0.5324377
0072.HK,Communication Services,Advertising Agencies,Modern Media Holdings Limited,200000,-0.0862,438352992,0.31,,2.1428573
0075.HK,Real Estate,Real Estate Services,Y. T. Realty Group Limited,2464,1.60147,799556992,2.21,21.359224,1.0653753
0076.HK,Technology,Electronic Components,Elate Holdings Limited,420000,-0.088470004,5482710016,0.06,5.2881107,0.8529411
0077.HK,Industrials,Railroads,AMS Public Transport Holdings Limited,10000,-0.06362,271912992,0.91,,2.5070424
0078.HK,Consumer Cyclical,Lodging,Regal Hotels International Holdings Limited,250000,0.2456,898800000,4.12,8.604167,0.24792892
0079.HK,Consumer Cyclical,Personal Services,Century Legend (Holdings) Limited,28000,-0.56931996,326076992,0.247,,0.21877769
0080.HK,Financial Services,Asset Management,China New Economy Fund Limited,7320000,0.0,1388249984,0.054,,0.91525424
0081.HK,Real Estate,Real Estate—Development,China Overseas Grand Oceans Group Limited,303888,0.11939,3423360000,4.61,6.347469,0.76668864
0082.HK,Communication Services,Broadcasting,V1 Group Limited,332800,-0.18406999,4213400064,0.191,,0.77016133
0083.HK,Real Estate,Real Estate—Development,Sino Land Company Limited,151703,0.86329,6958940160,11.34,10.990292,0.5311063
0084.HK,Consumer Cyclical,Luxury Goods,Stelux Holdings International Limited,218000,-0.12279,1046470016,0.118,,0.1361556
0085.HK,Technology,Semiconductors,China Electronics Huada Technology Company Limited,6000,0.06657,2029869952,0.64,11.469534,0.6550665
0086.HK,Financial Services,Capital Markets,Sun Hung Kai & Co. Limited,10000,0.33650002,1999369984,3.51,6.192171,0.3537664
0087.HK,Industrials,Conglomerates,Swire Pacific Limited,2500,0.21203,2981870080,11.3,3.5873015,0.061823975
0088.HK,Real Estate,Real Estate—Development,Tai Cheung Holdings Limited,83399,5.9097,617531008,6.26,16.473684,0.55110484
0089.HK,Real Estate,Real Estate Services,Tai Sang Land Development Limited,8000,0.64295995,0,4.63,2.7076023,0.17178051
0090.HK,Utilities,Utilities—Independent Power Producers,Puxing Clean Energy Limited,184000,0.18008,458600000,0.66,5.8551645,3.7500002
0091.HK,Technology,Electronics & Computer Distribution,International Standard Resources Holdings Limited,490000,0.0,727780992,0.24,,
0092.HK,Technology,Information Technology Services,Champion Technology Holdings Limited,84000,-0.18715,683830976,0.147,,1.3867924
0093.HK,Real Estate,Real Estate Services,Termbray Industries International (Holdings) Limited,292000,-1.09818,1957639936,0.465,,0.72649574
0094.HK,Basic Materials,Lumber & Wood Production,Greenheart Group Limited,268000,-0.19693,1854989952,0.25,,0.43554008
0095.HK,Real Estate,Real Estate—Diversified,LVGEM (China) Real Estate Investment Company Limited,652000,0.28409,5049260032,2.63,9.092777,18.913044
0096.HK,Consumer Cyclical,Auto Parts,Yusei Holdings Limited,18000,0.05448,636550016,1.0,4.7218814,5.8139534
0097.HK,Consumer Cyclical,Department Stores,Henderson Investment Limited,768527,0.03688,3047000064,0.63,19.687498,1.4651163
0098.HK,Basic Materials,Aluminum,Xingfa Aluminium Holdings Limited,47000,0.05111,418000000,7.47,5.559905,9.396226
0099.HK,Technology,Consumer Electronics,Wong's International Holdings Limited,10000,0.23677999,478484000,2.73,0.9191919,0.25955507
0100.HK,Communication Services,Advertising Agencies,Clear Media Limited,12000,0.0512,541699968,6.08,12.967631,9.678972
0101.HK,Real Estate,Real Estate Services,Hang Lung Properties Limited,128561,0.80825996,4497999872,16.32,9.055555,0.5305126
0102.HK,Consumer Cyclical,Resorts & Casinos,Summit Ascent Holdings Limited,6000,0.093260005,1803779968,1.01,196.07843,1.1494253
0103.HK,Basic Materials,Steel,Shougang Concord Century Holdings Limited,94000,0.022230001,1920160000,0.195,,0.2742616
0104.HK,Consumer Cyclical,Specialty Retail,Asia Commercial Holdings Limited,20000,0.06432,783433024,0.43,,0.62865496
0105.HK,Real Estate,Real Estate Services,Associated International Hotels Limited,26000,-0.68805003,360000000,19.1,46.585365,0.5277993
0106.HK,Real Estate,Real Estate—Development,"Landsea Green Properties Co., Ltd.",56000,0.14341,4722310144,0.83,2.6998718,6.014493
0107.HK,Industrials,Infrastructure Operations,Sichuan Expressway Company Limited,50000,0.1667,895320000,2.31,7.297863,3.1950207
0108.HK,Real Estate,Real Estate Services,GR Properties Limited,1024000,0.0496,3199369984,1.28,317.07315,1.2149532
0109.HK,Financial Services,Asset Management,Good Resources Holdings Limited,40000,0.35026002,7088220160,0.082,10.789474,0.20865141
0110.HK,Technology,Consumer Electronics,China Fortune Holdings Limited,74000,0.08,917779008,0.084,10.352941,2.3783784
0111.HK,Financial Services,Capital Markets,Cinda International Holdings Limited,28000,0.23768,641206016,0.34,5.3712482,0.2541106
0112.HK,Real Estate,Real Estate—Development,Lerthai Group Limited,4000,0.21428,767654976,4.52,2.923077,0.5695017
0113.HK,Consumer Cyclical,Luxury Goods,Dickson Concepts (International) Limited,194000,0.10012999,394203008,3.8,3.7586546,0.6053847
0114.HK,Consumer Cyclical,Leisure,Herald Holdings Limited,10000,0.00929,604491008,0.78,,0.7
0115.HK,Real Estate,Real Estate—Development,Grand Field Group Holdings Limited,610000,2.74388,2449550080,0.101,0.19928966,0.20240481
0116.HK,Consumer Cyclical,Luxury Goods,Chow Sang Sang Holdings International Limited,10000,0.054380003,677433984,9.09,6.0374837,0.5617838
0117.HK,Technology,Electronic Components,Tianli Holdings Group Limited,200000,-0.11927,744750016,0.57,2.3393252,2.7142859
0118.HK,Technology,Electronic Components,Cosmos Machinery Enterprises Limited,6000,0.01288,861931008,0.28,2.9914532,0.20467836
0119.HK,Real Estate,Real Estate—Development,"Poly Property Group Co., Limited",1261234,0.15884,3661540096,2.89,4.704345,0.31996444
0120.HK,Real Estate,Real Estate—Diversified,Cosmopolitan International Holdings Limited,826000,-0.55931,4413720064,1.4,47.826084,7.1499996
0122.HK,Consumer Cyclical,Apparel Manufacturing,Crocodile Garments Limited,205000,0.13005,947544000,0.52,16.099072,0.27097446
0123.HK,Real Estate,Real Estate—Development,Yuexiu Property Company Limited,3305868,0.0863,15482300416,1.69,6.8265653,4.2537313
0124.HK,Real Estate,Real Estate—Development,Guangdong Land Holdings Limited,126000,0.16702999,1711539968,1.31,10.0,0.50133944
0125.HK,Consumer Cyclical,Luxury Goods,Sun Hing Vision Group Holdings Limited,54000,0.01778,262778000,2.02,7.5555553,0.58536583
0126.HK,Consumer Cyclical,Restaurants,Carrianna Group Holdings Company Limited,8000,0.26071,1257090048,0.8,3.6166365,0.2729444
0127.HK,Real Estate,Real Estate—Development,Chinese Estates Holdings Limited,500,3.39762,1907619968,6.06,11.390977,0.34305122
0128.HK,Consumer Cyclical,Apparel Retail,ENM Holdings Limited,52000,-0.06737,1650659968,0.71,,1.2074829
0129.HK,Financial Services,Asset Management,Asia Standard International Group Limited,3479,0.45758,1319779968,1.23,1.1714287,0.082728006
0130.HK,Consumer Cyclical,Apparel Manufacturing,Moiselle International Holdings Limited,12000,-0.13154,287929984,0.385,,0.1717983
0131.HK,Real Estate,Real Estate—Diversified,Cheuk Nang (Holdings) Limited,11,2.84259,595633984,3.34,3.3737373,0.29965907
0132.HK,Industrials,Conglomerates,China Investments Holdings Limited,10386,0.55594003,1712329984,0.31,88.2353,0.48859936
0133.HK,Financial Services,Asset Management,China Merchants China Direct Investments Limited,55638,0.66084,152332992,9.62,,2.2008693
0135.HK,Energy,Oil & Gas Integrated,Kunlun Energy Company Limited,2494070,0.04282,8658799616,6.75,10.326311,8.72093
0136.HK,Consumer Cyclical,Internet Retail,HengTen Networks Group Limited,1432000,0.17793,74611703808,0.112,63.672543,56
0137.HK,Industrials,Marine Shipping,Jinhui Holdings Company Limited,8000,0.052550003,530288992,0.76,8.351648,0.3304348
0138.HK,Financial Services,Capital Markets,CCT Fortis Holdings Limited,32500,-0.00366,873110976,0.425,0.9886364,0.12824292
0139.HK,Financial Services,Capital Markets,Central Wealth Group Holdings Limited,1400000,-0.05677,14716699648,0.052,Infinity,0.5306123
0141.HK,Real Estate,Real Estate Services,Sky Chinafortune Holdings Group Limited,926000,-0.53824,345375008,0.47,,0.27183342
0142.HK,Consumer Defensive,Packaged Foods,First Pacific Company Limited,510000,-0.01881,4344929792,2.69,11.211234,3.8751814
0143.HK,Technology,Communication Equipment,Guoan International Limited,1830000,-0.32131,7748960256,0.055,,1.25
0144.HK,Industrials,Marine Shipping,China Merchants Port Holdings Company Limited,195389,0.91858,3448950016,12.04,5.502414,0.5145242
0145.HK,Financial Services,Asset Management,The Hong Kong Building And Loan Agency Limited,24000,0.0,3724979968,0.073,,
0146.HK,Consumer Cyclical,Textile Manufacturing,Tai Ping Carpets International Limited,31000,-0.05874,212187008,1.2,13.437851,0.610998
0147.HK,Real Estate,Real Estate—Development,International Business Settlement Holdings Limited,20000,-0.84499,20319100928,0.165,,3.2352943
0148.HK,Industrials,Conglomerates,Kingboard Holdings Limited,399000,0.07971,1083149952,22.4,3.9880536,0.50551164
0149.HK,Consumer Defensive,Farm Products,China Agri-Products Exchange Limited,50000,-0.12792,9953070080,0.065,,0.53278685
0150.HK,Communication Services,Internet Content & Information,Hypebeast Limited,50000,0.08881,2000000000,1.3,,11.111111
0151.HK,Consumer Defensive,Packaged Foods,Want Want China Holdings Limited,4455090,0.17945999,12415200256,6.91,21.196384,41.939392
0152.HK,Industrials,Infrastructure Operations,Shenzhen International Holdings Limited,137500,0.38956,2159899904,16.84,8.31527,1.2459402
0153.HK,Industrials,Engineering & Construction,China Saite Group Company Limited,62000,0.0717,2590749952,0.179,,1.0227274
0154.HK,Industrials,Waste Management,Beijing Enterprises Environment Group Limited,102000,0.20188999,1500359936,0.63,3.567384,0.34146342
0156.HK,Consumer Cyclical,Restaurants,Lippo China Resources Limited,104000,0.04044,9186910208,0.168,,0.44591027
0157.HK,Consumer Defensive,Household & Personal Products,Natural Beauty Bio-Technology Limited,100000,0.01845,2002099968,0.79,60.76923,2.831541
0158.HK,Real Estate,Real Estate Services,Melbourne Enterprises Limited,500,6.21148,25000000,200.8,2.1840332,0.51119906
0159.HK,Basic Materials,Other Industrial Metals & Mining,Brockman Mining Limited,44000,0.0,9221229568,0.16,,2.3188405
0160.HK,Real Estate,Real Estate—Development,"Hon Kwok Land Investment Company, Limited",32000,1.20612,720428992,3.18,1.9751554,0.19977385
0161.HK,Technology,Electronic Components,AVIC International Holdings Limited,558000,-0.0109399995,333188000,7.75,,4.4159546
0162.HK,Consumer Cyclical,Department Stores,Century Ginwa Retail Holdings Limited,498000,-0.62431,1186310016,0.217,,0.7383512
0163.HK,Real Estate,Real Estate—Development,Emperor International Holdings Limited,60000,0.02764,3677550080,1.81,2.1529412,0.22058825
0164.HK,Technology,Consumer Electronics,China Baoli Technologies Holdings Limited,8690000,0.0,3721560064,0.099,,
0165.HK,Financial Services,Asset Management,China Everbright Limited,545446,0.64651,1685250048,12.44,6.8186755,0.5193731
0166.HK,Energy,Oil & Gas E&P,New Times Energy Corporation Limited,500,-0.56819,8758880256,0.073,,0.2044818
0167.HK,Technology,Consumer Electronics,IDT International Limited,404000,-0.57120997,2599990016,0.028,,
0168.HK,Consumer Defensive,Beverages—Brewers,Tsingtao Brewery Company Limited,109052,0.06856,655068992,49.15,41.286263,23.56021
0169.HK,Real Estate,Real Estate—Development,Wanda Hotel Development Company Limited,1364000,0.37342,4527349760,0.38,2.3312883,0.7966457
0171.HK,Energy,Oil & Gas Refining & Marketing,Silver Grant International Holdings Group Limited,60000,-0.32512,2304849920,1.17,,0.38815117
0172.HK,Basic Materials,Chemicals,Goldbond Group Holdings Limited,160000,-1.2187,2761910016,0.08,,0.48484847
0173.HK,Real Estate,Real Estate—Development,K. Wah International Holdings Limited,236970,0.32726002,3125169920,4.22,3.2352715,0.34878883
0174.HK,Financial Services,Asset Management,Gemini Investments (Holdings) Limited,12000,-0.96301,451390016,0.55,,0.08337123
0175.HK,Consumer Cyclical,Auto Manufacturers,Geely Automobile Holdings Limited,6512851,0.09849,9145610240,14.88,9.334772,22.511347
0176.HK,Technology,Consumer Electronics,Superactive Group Company Limited,28000,-0.58047,2032569984,0.25,,0.755287
0177.HK,Industrials,Infrastructure Operations,Jiangsu Expressway Company Limited,326000,0.43603,1222000000,10.5,10.715557,13.554988
0178.HK,Consumer Cyclical,Specialty Retail,Sa Sa International Holdings Limited,346000,0.02996,3103190016,1.71,11.103896,2.1895006
0179.HK,Industrials,Electrical Equipment & Parts,Johnson Electric Holdings Limited,356000,0.095699996,899222016,17.1,6.460513,5.7532325
0180.HK,Consumer Cyclical,Leisure,Kader Holdings Company Limited,22000,0.25445998,950588032,0.8,4.1841006,0.33613443
0181.HK,Consumer Cyclical,Lodging,Fujian Holdings Limited,60000,0.24931,1145549952,0.128,15.243902,0.35211268
0182.HK,Utilities,Utilities—Renewable,Concord New Energy Group Limited,60000,0.39923,8504569856,0.365,5.45183,3.8421054
0183.HK,Real Estate,Real Estate—Development,Winfull Group Holdings Limited,80000,1.00123,5548129792,0.069,8.961039,0.19602272
0184.HK,Consumer Cyclical,Lodging,Keck Seng Investments (Hong Kong) Limited,16050,0.09144,340200000,4.62,7.958477,0.41392964
0185.HK,Real Estate,Real Estate Services,Zensun Enterprises Limited,10000,0.06309,10294700032,0.33,,1.5227274
0186.HK,Technology,Electronics & Computer Distribution,Nimble Holdings Company Limited,30000,0.26178,5492230144,0.53,,5.408163
0187.HK,Industrials,Specialty Industrial Machinery,Beijing Jingcheng Machinery Electric Company Limited,710000,-0.091230005,100000000,1.46,,7.44898
0188.HK,Financial Services,Capital Markets,Sunwah Kingsway Capital Holdings Limited,3030000,-0.25581,7014470144,0.049,,0.3181818
0189.HK,Basic Materials,Chemicals,Dongyue Group Limited,933000,0.13644,2111689984,3.89,3.434042,7.281192
0190.HK,Real Estate,Real Estate—Development,HKC (Holdings) Limited,183095,0.45856,517014016,6.91,4.9711814,0.27678606
0191.HK,Real Estate,Real Estate—Development,Lai Sun Garment (International) Limited,6000,0.38371,386880000,10.1,1.3932956,0.17280318
0193.HK,Consumer Cyclical,Lodging,Capital Estate Limited,500,0.34695,194338000,0.92,,0.17467248
0194.HK,Real Estate,Real Estate—Development,Liu Chong Hing Investment Limited,10000,0.41389,378583008,10.66,3.9328358,0.3209403
0195.HK,Basic Materials,Other Industrial Metals & Mining,Greentech Technology International Limited,36740000,0.09511,6830000128,0.184,,2.3506494
0196.HK,Energy,Oil & Gas Equipment & Services,Honghua Group Limited,1467000,0.051209997,5355520000,0.415,23.515411,3.6725664
0197.HK,Consumer Defensive,Farm Products,Heng Tai Consumables Group Limited,3151,-0.33909,1872700032,0.188,,0.19009098
0199.HK,Consumer Cyclical,Lodging,ITC Properties Group Limited,105179,0.0,965832000,1.17,7.799999,0.2456435
0200.HK,Consumer Cyclical,Resorts & Casinos,Melco International Development Limited,2265609,0.014780001,1513900032,18.9,54.588234,1.6894228
0201.HK,Consumer Cyclical,Lodging,Magnificent Hotel Investments Limited,19,0.43971002,8947050496,0.159,5.4639173,0.34945053
0202.HK,Real Estate,Real Estate Services,EverChina Int'l Holdings Company Limited,120000,-2.47865,7294369792,0.228,,0.7718121
0204.HK,Financial Services,Asset Management,China Investment Development Limited,6486000,0.0,1058190016,0.146,,1.4599999
0205.HK,Communication Services,Advertising Agencies,SEEC Media Group Limited,540000,-0.59311,6373550080,0.016,,0.22535212
0206.HK,Energy,Oil & Gas Equipment & Services,"CMIC Ocean En-Tech Holding Co., Ltd.",270000,-0.43724,3069040128,0.345,,8.414634
0207.HK,Real Estate,Real Estate—Diversified,Joy City Property Limited,42626,0.13559,14231100416,0.85,5.38503,2.7009647
0208.HK,Real Estate,Real Estate—Development,Polytec Asset Holdings Limited,49000,1.0382199,4438969856,0.96,2.6330223,0.3027436
0209.HK,Consumer Cyclical,Leisure,Winshine Science Company Limited,351060000,-0.3518,,0.021,,0.617647
0210.HK,Consumer Cyclical,Footwear & Accessories,Daphne International Holdings Limited,402000,-0.2726,1649139968,0.13,,0.15098722
0211.HK,Financial Services,Capital Markets,Styland Holdings Limited,75114,0.17826,5880479744,0.035,945.9459,0.34653464
0212.HK,Real Estate,Real Estate Services,Nanyang Holdings Limited,5000,0.98415,34476700,50.45,5.0856857,0.31828249
0213.HK,Consumer Cyclical,Luxury Goods,National Electronics Holdings Limited,1,0.27046,1009360000,1.12,5.1612906,0.4703906
0214.HK,Financial Services,Asset Management,Asia Orient Holdings Limited,69,0.27166998,840873984,1.2,1.7910448,0.077279754
0215.HK,Communication Services,Telecom Services,Hutchison Telecommunications Hong Kong Holdings Limited,152016,0.0615,4818899968,1.51,18.138424,0.6178862
0216.HK,Real Estate,Real Estate—Development,"Chinney Investments, Limited",48000,0.81222,0,2.35,1.6549295,0.16539976
0217.HK,Financial Services,Capital Markets,China Chengtong Development Group Limited,8000,0.13625,5808739840,0.185,9.438775,0.3767821
0218.HK,Financial Services,Capital Markets,Shenwan Hongyuan (H.K.) Limited,20000,0.20737,1561139968,1.07,8.767576,0.42845592
0219.HK,Consumer Cyclical,Lodging,Shun Ho Property Investments Limited,68003,0.52437,579753024,2.21,1.9475021,0.16350323
0220.HK,Consumer Defensive,Beverages—Non-Alcoholic,Uni-President China Holdings Ltd,209936,0.05963,4319329792,8.0,29.472227,17.621145
0221.HK,Real Estate,Real Estate—Development,Easy One Financial Group Limited,4642,0.19077,556432000,0.45,3.5573123,0.2228826
0222.HK,Financial Services,Insurance—Property & Casualty,Min Xin Holdings Limited,8000,1.39944,597257024,3.06,3.1614835,0.26488918
0223.HK,,,Elife Holdings Limited,1470000,,,0.118,1.7246377,
0224.HK,Real Estate,Real Estate Services,Pioneer Global Group Limited,12000,0.97556,0,1.42,3.207184,0.2413904
0225.HK,Real Estate,Real Estate Services,Pokfulam Development Company Limited,6000,1.00743,110179000,14.4,11.612903,0.28658426
0226.HK,Consumer Defensive,Food Distribution,Lippo Limited,25000,0.16231,493153984,2.65,,0.13119462
0227.HK,Financial Services,Capital Markets,First Shanghai Investments Limited,32000,0.064770006,1418969984,0.36,3.7460978,0.19077903
0228.HK,Energy,Oil & Gas Integrated,China Energy Development Holdings Limited,952000,-0.57612,9505340416,0.175,,1.0542169
0229.HK,Technology,Consumer Electronics,Raymond Industrial Limited,63000,0.027379999,494204992,0.88,8.2166195,0.7302904
0230.HK,Real Estate,Real Estate—Development,Minmetals Land Limited,34000,0.11883,3346909952,1.31,4.688618,0.33780298
0231.HK,Financial Services,Capital Markets,Ping An Securities Group (Holdings) Limited,40001,0.0,5165859840,0.028,,1.6470587
0232.HK,Industrials,Aerospace & Defense,AVIC International Holding (HK) Limited,1796000,0.36714,9303369728,0.16,3.624161,0.42519683
0234.HK,Consumer Cyclical,Leisure,New Century Group Hong Kong Limited,6,0.18395,5780369920,0.119,36.363636,0.42105263
0235.HK,Financial Services,Capital Markets,China Strategic Holdings Limited,635000,0.13818,16987700224,0.039,0.7768924,0.18660288
0236.HK,Consumer Defensive,Beverages—Brewers,San Miguel Brewery Hong Kong Limited,170000,-0.12748,373569984,1.05,,0.75539565
0237.HK,Real Estate,Real Estate Services,"Safety Godown Company, Limited",16000,0.68189,135000000,12.3,5.9710145,0.34837508
0238.HK,Consumer Cyclical,Apparel Manufacturing,Evergreen International Holdings Limited,9000,-0.41386002,948825984,0.38,,2.6785715
